"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"123","K=(1, 3)","inverse_variance_weighting_optimal",100,3.00683590377571,2.57440274399701,3.4392690635544
"124","K=(1, 3)","inverse_variance_weighting_optimal",250,2.86841232429877,2.65184289377101,3.08498175482653
"125","K=(1, 3)","inverse_variance_weighting_optimal",500,2.95305613522916,2.7548179823443,3.15129428811403
"126","K=(1, 3)","inverse_variance_weighting_optimal",750,3.18269873312976,3.01591006707,3.34948739918951
"127","K=(1, 3)","inverse_variance_weighting_optimal",1000,2.8593377324517,2.76807864954624,2.95059681535716
"128","K=(1, 3)","inverse_variance_weighting_optimal",2000,2.89812423587468,2.81122606197701,2.98502240977234
"129","K=(1, 3)","inverse_variance_weighting_optimal",3500,2.90429567869806,2.84724094823163,2.96135040916449
"130","K=(1, 3)","inverse_variance_weighting_optimal",5000,2.97942552366088,2.93148171627695,3.0273693310448
"131","K=(1, 3)","inverse_variance_weighting_optimal",7500,2.90243186744566,2.86092481873878,2.94393891615254
"132","K=(1, 3)","inverse_variance_weighting_optimal",10000,2.87399514111345,2.83576480870862,2.91222547351827
"133","K=(1, 3)","mean",50,7.16431875444147,2.30461833847495,12.024019170408
"134","K=(1, 3)","mean",100,4.43702058710141,2.44913128937986,6.42490988482295
"135","K=(1, 3)","mean",250,3.81686033236557,3.10716534642905,4.52655531830208
"136","K=(1, 3)","mean",500,2.9005466562374,2.62154685493785,3.17954645753696
"137","K=(1, 3)","mean",750,3.4218657694103,2.97065771153826,3.87307382728235
"138","K=(1, 3)","mean",1000,2.84173008850932,2.63374097843241,3.04971919858624
"139","K=(1, 3)","mean",2000,3.08642518275515,2.93047591082641,3.2423744546839
"140","K=(1, 3)","mean",3500,2.8773396852368,2.78131621795629,2.97336315251731
"141","K=(1, 3)","mean",5000,3.03394763887025,2.94161534273655,3.12627993500396
"142","K=(1, 3)","mean",7500,2.8841645135738,2.81700415594593,2.95132487120168
"143","K=(1, 3)","mean",10000,2.7940961133888,2.73346020024636,2.85473202653123
"144","K=(1, 3)","player_1",50,18.3058895170786,1.73659889094606,34.8751801432111
"145","K=(1, 3)","player_1",100,8.62586525601846,2.65550665601705,14.5962238560199
"146","K=(1, 3)","player_1",250,6.33946159843371,4.48860608099777,8.19031711586964
"147","K=(1, 3)","player_1",500,3.15869665112534,2.59823763507492,3.71915566717576
"148","K=(1, 3)","player_1",750,4.22145792445275,3.15580026008647,5.28711558881903
"149","K=(1, 3)","player_1",1000,3.04545095057437,2.53369503746711,3.55720686368163
"150","K=(1, 3)","player_1",2000,3.48467408403757,3.17171322654836,3.79763494152678
"151","K=(1, 3)","player_1",3500,2.90038953254249,2.71044020955741,3.09033885552757
"152","K=(1, 3)","player_1",5000,3.15354372650175,2.98030764613145,3.32677980687206
"153","K=(1, 3)","player_1",7500,2.89346411161149,2.76633099866739,3.02059722455559
"154","K=(1, 3)","player_1",10000,2.72230471234494,2.60963148240333,2.83497794228655
"155","K=(1, 3)","player_3",50,4.45830434943282,3.11888212099306,5.79772657787258
"156","K=(1, 3)","player_3",100,2.91459599821784,2.55060485659798,3.2785871398377
"157","K=(1, 3)","player_3",250,2.78835166211073,2.5839120679396,2.99279125628187
"158","K=(1, 3)","player_3",500,3.00074420410251,2.79090444109891,3.21058396710611
"159","K=(1, 3)","player_3",750,3.17809330508954,3.03042919184952,3.32575741832955
"160","K=(1, 3)","player_3",1000,2.88769709573652,2.79086215228074,2.9845320391923
"161","K=(1, 3)","player_3",2000,2.87044777711679,2.77995301353904,2.96094254069455
"162","K=(1, 3)","player_3",3500,2.9169209165067,2.85808594898546,2.97575588402795
"163","K=(1, 3)","player_3",5000,2.9719123681022,2.92499825803877,3.01882647816563
"164","K=(1, 3)","player_3",7500,2.91027190331254,2.86686849264333,2.95367531398175
"165","K=(1, 3)","player_3",10000,2.89620637441632,2.85619492159348,2.93621782723915
"166","K=(2, 3)","inverse_variance_weighting",50,0.76416859258014,0.54130889024548,0.9870282949148
"167","K=(2, 3)","inverse_variance_weighting",100,0.370180581254174,0.29739725101672,0.442963911491629
"168","K=(2, 3)","inverse_variance_weighting",250,0.394302091587948,0.328993625675006,0.459610557500889
"169","K=(2, 3)","inverse_variance_weighting",500,0.46346514114955,0.413540883377215,0.513389398921886
"170","K=(2, 3)","inverse_variance_weighting",750,0.518775752731085,0.459313414148451,0.57823809131372
"171","K=(2, 3)","inverse_variance_weighting",1000,0.505765971857288,0.456494459889003,0.555037483825573
"172","K=(2, 3)","inverse_variance_weighting",2000,0.461539314128946,0.426375093988031,0.496703534269862
